symbol,score,vol_score,price_score,market_score,fund_score,current_price,market_cap,sector,industry,max_vol_spike_30d,spike_days_2x,spike_days_3x,vol_trend_ratio,pct_from_52w_high,above_ma200,summary
PAYX,80,40,15,10,15,112.22,33654261760,Technology,Software - Application,3.64,2,1,1.1,28.5,False,vol 2X spike (2d) | vol 3X spike (1d) | vol trend up | 28% from 52w high
ALSN,80,35,20,10,15,98.66,10298990592,Consumer Cyclical,Auto Parts,2.97,2,0,1.05,17.9,True,vol 2X spike (2d) | vol trend up | multiple spike events | above MA200
LOW,80,30,25,10,15,240.94,128366419968,Consumer Cyclical,Home Improvement Retail,2.72,3,0,1.14,11.1,True,vol 2X spike (3d) | vol trend up | above MA200 | 11% from 52w high
ON,80,35,20,10,15,54.24,40444407808,Technology,Semiconductors,5.24,1,1,0.99,19.1,True,vol 2X spike (1d) | vol 3X spike (1d) | above MA200 | 19% from 52w high
CNP,80,30,25,10,15,38.4,27291951104,Utilities,Utilities - Regulated Electric,2.18,1,0,1.0,4.1,True,vol 2X spike (1d) | vol trend up | above MA200 | 4% from 52w high
LAZ,80,30,25,10,15,48.99,4732883968,Financial Services,Capital Markets,2.26,2,0,1.06,14.0,True,vol 2X spike (2d) | vol trend up | above MA200 | 14% from 52w high
ACI,80,40,15,10,15,16.93,7922448384,Consumer Defensive,Grocery Stores,4.69,1,1,1.0,24.0,False,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | 24% from 52w high
ILMN,80,35,20,10,15,132.75,21466443776,Healthcare,Diagnostics & Research,3.18,1,1,0.94,13.3,True,vol 2X spike (1d) | vol 3X spike (1d) | above MA200 | 13% from 52w high
RL,75,30,20,10,15,357.68,21736644608,Consumer Cyclical,Apparel Manufacturing,2.51,1,0,1.1,5.4,True,vol 2X spike (1d) | vol trend up | above MA200 | 5% from 52w high
WSM,75,35,25,10,5,180.11,21440942080,Consumer Cyclical,Specialty Retail,2.92,3,0,1.17,16.5,True,vol 2X spike (3d) | vol trend up | multiple spike events | above MA200
